time,temperature_2m_c,precipitation_probability_percent,wind_speed_10m_kmh
2026-08-02T00:00,29.8,0,5.3
2026-08-02T01:00,29.6,0,3.6
2026-08-02T02:00,29.4,0,2.5
2026-08-02T03:00,28.6,0,2.3
2026-08-02T04:00,28.2,0,2.5
2026-08-02T05:00,27.9,0,3.5
2026-08-02T06:00,28.2,0,2.9
2026-08-02T07:00,30.3,0,2.7
2026-08-02T08:00,32.4,0,1.5
2026-08-02T09:00,34.5,0,0.7
2026-08-02T10:00,36.1,0,3.6
2026-08-02T11:00,37.1,4,6.2
2026-08-02T12:00,37.9,28,7.0
2026-08-02T13:00,38.3,61,8.3
2026-08-02T14:00,37.7,86,9.1
2026-08-02T15:00,37.8,99,8.2
2026-08-02T16:00,36.8,100,6.4
2026-08-02T17:00,35.4,98,7.1
2026-08-02T18:00,34.2,76,5.6
2026-08-02T19:00,33.2,43,6.4
2026-08-02T20:00,32.2,18,8.0
2026-08-02T21:00,31.2,7,7.1
2026-08-02T22:00,30.5,2,6.3
2026-08-02T23:00,29.9,0,5.5
